id,AuthorName,date,PERMNO,TICKER,company
1153,Unemon1,13-Dec-16,87337,PLUG,Plug Power Inc
1645,Spruce Point Capital Ma,19-Dec-19,87337,PLUG,Plug Power Inc.
1733,Citron Research,21-Aug-20,87337,PLUG,Plug Power Inc.
769,Cable Car Capital LLC,18-May-15,84234,PLUS,Plus500 Ltd
1408,Philadelphia Financial,3-May-18,84234,PLUS,Plus500 Ltd
591,Copperfield Research,28-Jul-14,12582,PCOM,POINTS INTERNATIONAL LTD
1251,Cliffside Research,7-Jun-17,90539,PTE,PolarityTE Inc
1305,Hindenburg Research,7-Oct-17,90539,PTE,PolarityTE Inc
1316,White Diamond Research,25-Oct-17,90539,PTE,PolarityTE Inc
1427,Citron Research,25-Jun-18,90539,PTE,PolarityTE Inc
1618,Et al BioCapital,15-Oct-19,90539,PTE,Polarityte Inc
600,Lakewood Capital Manage,11-Aug-14,89574,PRAA,PORTFOLIO RECOVERY ASSOCIATES I
774,Hayman Capital Manageme,21-May-15,88740,POZN,POZEN INC
1607,Spruce Point Capital Ma,25-Sep-19,14169,PINC,"Premier, Inc."
1717,Spruce Point Capital Ma,30-Jun-20,90564,PBH,Prestige Consumer Healthcare Inc
1451,Viceroy Research,6-Sep-18,13191,PVG,Pretium Resources Inc.
1049,The Friendly Bear,19-Jul-16,93330,PRI,Primerica Inc.
1059,Dialectic Capital Manag,9-Aug-16,93330,PRI,Primerica Inc.
1652,Kerrisdale Capital Mana,27-Jan-20,18126,PRNB,Principia Biopharma Inc
1191,The Street Sweeper,16-Feb-17,13828,IPDN,Professional Diversity Network I
1209,Cliffside Research,20-Mar-17,13828,IPDN,Professional Diversity Network I
475,Pine River Capital,21-Nov-13,64390,PGR,PROGRESSIVE CORP OH
905,Muddy Waters Research,3-Dec-15,13377,PFPT,PROOFPOINT INC
1626,Culper Research,31-Oct-19,16617,PUMP,ProPetro Holding Corp
1379,Kerrisdale Capital,20-Mar-18,15950,PTI,Proteostasis Therapeutics Inc
1636,Utopia Capital Research,6-Dec-19,15950,PTI,Proteostasis Therapeutics Inc
1264,Muddy Waters Research,29-Jun-17,13706,PRTA,Prothena Corporation plc
1322,Kerrisdale Capital Mana,8-Nov-17,13706,PRTA,Prothena Corporation plc
556,The Pump Stopper,21-May-14,68276,PVCT,PROVECTUS BIOPHARMACEUTICALS IN
319,The Street Sweeper,3-Oct-12,80568,PSSI,PSS WORLD MEDICAL INC
1124,Dialectic Capital Manag,27-Oct-16,75912,PTC,PTC Inc.
1211,Spruce Point Capital Ma,23-Mar-17,75912,PTC,PTC Inc.
179,The GeoTeam,7-Apr-11,93030,PUDA,PUDA COAL INC
180,Alfred Little,8-Apr-11,93030,PUDA,PUDA COAL INC
1196,The Street Sweeper,23-Feb-17,16066,PLSE,Pulse Biosciences Inc
